,broad_class,subclass
Astro_Aqp4,GLIA,Astro
CR_Lhx5,EXCIT,CR
Endo_Ctla2a,ENDO,Endo
Endo_Cytl1,ENDO,Endo
L2.3_IT_ALM_Sla,EXCIT,L2.3_IT
L2.3_IT_VISp_Adamts2,EXCIT,L2.3_IT
L2.3_IT_VISp_Agmat,EXCIT,L2.3_IT
L2.3_IT_VISp_Rrad,EXCIT,L2.3_IT
L4_IT_VISp_Rspo1,EXCIT,L4
L5_IT_ALM_Cpa6_Gpr88,EXCIT,L5_IT
L5_IT_ALM_Npw,EXCIT,L5_IT
L5_IT_VISp_Batf3,EXCIT,L5_IT
L5_IT_VISp_Col27a1,EXCIT,L5_IT
L5_IT_VISp_Col6a1_Fezf2,EXCIT,L5_IT
L5_IT_VISp_Hsd11b1_Endou,EXCIT,L5_IT
L5_IT_VISp_Whrn_Tox2,EXCIT,L5_IT
L5_NP_ALM_Trhr_Nefl,EXCIT,NP
L5_NP_VISp_Trhr_Cpne7,EXCIT,NP
L5_NP_VISp_Trhr_Met,EXCIT,NP
L5_PT_VISp_C1ql2_Cdh13,EXCIT,L5_PT
L5_PT_VISp_C1ql2_Ptgfr,EXCIT,L5_PT
L5_PT_VISp_Chrna6,EXCIT,L5_PT
L5_PT_VISp_Krt80,EXCIT,L5_PT
L5_PT_VISp_Lgr5,EXCIT,L5_PT
L6_CT_ALM_Cpa6,EXCIT,L6_CT
L6_CT_ALM_Nxph2_Sla,EXCIT,L6_CT
L6_CT_VISp_Ctxn3_Brinp3,EXCIT,L6_CT
L6_CT_VISp_Ctxn3_Sla,EXCIT,L6_CT
L6_CT_VISp_Gpr139,EXCIT,L6_CT
L6_CT_VISp_Krt80_Sla,EXCIT,L6_CT
L6_CT_VISp_Nxph2_Wls,EXCIT,L6_CT
L6_IT_ALM_Oprk1,EXCIT,L6_IT
L6_IT_ALM_Tgfb1,EXCIT,L6_IT
L6_IT_VISp_Car3,EXCIT,L6_IT
L6_IT_VISp_Col18a1,EXCIT,L6_IT
L6_IT_VISp_Col23a1_Adamts2,EXCIT,L6_IT
L6_IT_VISp_Penk_Col27a1,EXCIT,L6_IT
L6_IT_VISp_Penk_Fst,EXCIT,L6_IT
L6b_Hsd17b2,EXCIT,L6b
L6b_P2ry12,EXCIT,L6b
L6b_VISp_Col8a1_Rprm,EXCIT,L6b
L6b_VISp_Col8a1_Rxfp1,EXCIT,L6b
L6b_VISp_Crh,EXCIT,L6b
L6b_VISp_Mup5,EXCIT,L6b
Lamp5_Fam19a1_Pax6,CGE,Lamp5
Lamp5_Fam19a1_Tmem182,CGE,Lamp5
Lamp5_Krt73,CGE,Lamp5
Lamp5_Lhx6,CGE,Lamp5
Lamp5_Lsp1,CGE,Lamp5
Lamp5_Ntn1_Npy2r,CGE,Lamp5
Lamp5_Plch2_Dock5,CGE,Lamp5
Meis2_Adamts19,EXCIT,Meis2
OPC_Pdgfra_Ccnb1,GLIA,Oligo
OPC_Pdgfra_Grm5,GLIA,Oligo
Oligo_Rassf10,GLIA,Oligo
Oligo_Serpinb1a,GLIA,Oligo
Oligo_Synpr,GLIA,Oligo
Peri_Kcnj8,ENDO,Peri
Pvalb_Akr1c18_Ntf3,MGE,Pvalb
Pvalb_Calb1_Sst,MGE,Pvalb
Pvalb_Gabrg1,MGE,Pvalb
Pvalb_Gpr149_Islr,MGE,Pvalb
Pvalb_Reln_Itm2a,MGE,Pvalb
Pvalb_Reln_Tac1,MGE,Pvalb
Pvalb_Sema3e_Kank4,MGE,Pvalb
Pvalb_Th_Sst,MGE,Pvalb
Pvalb_Tpbg,MGE,Pvalb
Pvalb_Vipr2,MGE,Pvalb
SMC_Acta2,ENDO,SMC
Serpinf1_Aqp5_Vip,CGE,Serpinf1
Serpinf1_Clrn1,CGE,Serpinf1
Sncg_Gpr50,CGE,Sncg
Sncg_Slc17a8,CGE,Sncg
Sncg_Vip_Itih5,CGE,Sncg
Sncg_Vip_Nptx2,CGE,Sncg
Sst_Calb2_Necab1,MGE,Sst
Sst_Calb2_Pdlim5,MGE,Sst
Sst_Chodl,MGE,Sst
Sst_Chrna2_Glra3,MGE,Sst
Sst_Chrna2_Ptgdr,MGE,Sst
Sst_Crh_4930553C11Rik,MGE,Sst
Sst_Crhr2_Efemp1,MGE,Sst
Sst_Esm1,MGE,Sst
Sst_Hpse_Cbln4,MGE,Sst
Sst_Hpse_Sema3c,MGE,Sst
Sst_Mme_Fam114a1,MGE,Sst
Sst_Myh8_Etv1,MGE,Sst
Sst_Myh8_Fibin,MGE,Sst
Sst_Nr2f2_Necab1,MGE,Sst
Sst_Nts,MGE,Sst
Sst_Rxfp1_Eya1,MGE,Sst
Sst_Rxfp1_Prdm8,MGE,Sst
Sst_Tac1_Htr1d,MGE,Sst
Sst_Tac1_Tacr3,MGE,Sst
Sst_Tac2_Myh4,MGE,Sst
Sst_Tac2_Tacstd2,MGE,Sst
VLMC_Osr1_Cd74,ENDO,VLMC
VLMC_Osr1_Mc5r,ENDO,VLMC
VLMC_Spp1_Col15a1,ENDO,VLMC
VLMC_Spp1_Hs3st6,ENDO,VLMC
