,Cacna1a,Ogt,MGE_score,CGE_score
Astro_Aqp4,3.330592909341582,1069.8812985748166,56.744698,134.1608
CR_Lhx5,46.56341095770166,334.38053776646757,108.58776,89.69111
Endo_Ctla2a,2.9541868292734157,268.51079297476684,109.07178,35.006626
Endo_Cytl1,0.0,489.1354487087236,77.36636,20.236998
L2.3_IT_ALM_Sla,22.197142191933263,364.5264017741929,209.10109,100.46608
L2.3_IT_VISp_Adamts2,25.74983203271572,437.2845105117241,194.84566,120.4393
L2.3_IT_VISp_Agmat,34.7372723183529,421.1552711629804,188.07994,116.31763
L2.3_IT_VISp_Rrad,27.975998757924263,428.4503448702847,190.27806,142.51044
L4_IT_VISp_Rspo1,75.7229999606843,601.0837422657264,182.17783,140.72147
L5_IT_ALM_Cpa6_Gpr88,12.252461979078921,267.10367114392045,226.63306,122.27959
L5_IT_ALM_Npw,19.737376786522855,446.4130220245904,180.91212,137.86223
L5_IT_VISp_Batf3,34.38036651935328,432.04406774099016,204.62921,109.929276
L5_IT_VISp_Col27a1,33.1094549920283,359.5336638057927,186.4468,101.91129
L5_IT_VISp_Col6a1_Fezf2,22.424793574589433,405.7956625494898,193.44875,105.6727
L5_IT_VISp_Hsd11b1_Endou,39.36392294499089,447.93322881448466,200.36314,129.9917
L5_IT_VISp_Whrn_Tox2,30.1176332977496,377.000218972363,203.2363,119.9292
L5_NP_ALM_Trhr_Nefl,9.8711687882955,426.8633114164466,216.86505,93.60347
L5_NP_VISp_Trhr_Cpne7,33.784917116933165,539.9286024994823,214.11731,96.19673
L5_NP_VISp_Trhr_Met,37.42064058601966,477.37838255682567,194.44458,100.95709
L5_PT_VISp_C1ql2_Cdh13,19.3468409838799,327.87740716871605,206.18451,108.829
L5_PT_VISp_C1ql2_Ptgfr,20.070684735425125,317.6823542197505,204.50566,96.73761
L5_PT_VISp_Chrna6,22.491352841439372,462.08980665233014,208.20978,79.47508
L5_PT_VISp_Krt80,23.341979880193957,309.3133869839209,224.58066,104.207115
L5_PT_VISp_Lgr5,22.056252834036584,357.1377096819924,231.36685,84.19241
L6_CT_ALM_Cpa6,22.375031255121783,365.8317610212412,219.2981,126.784004
L6_CT_ALM_Nxph2_Sla,39.1800423852674,226.6383083625687,196.26726,101.12587
L6_CT_VISp_Ctxn3_Brinp3,32.649151630065205,349.38065719676496,187.81592,108.036575
L6_CT_VISp_Ctxn3_Sla,27.672832517264563,346.70191758517035,190.22707,106.73437
L6_CT_VISp_Gpr139,25.077019436826053,372.68536268226626,186.25809,110.3183
L6_CT_VISp_Krt80_Sla,21.56996310169435,354.57445845236987,197.12003,107.409966
L6_CT_VISp_Nxph2_Wls,34.970644358895576,316.5032203861401,195.36127,99.6331
L6_IT_ALM_Oprk1,5.762352535249028,402.2576200769464,203.16983,105.02983
