Current Date - 19-JAN-2018
Instrument Serial Number - 8470050176
Software Name - ExpressPro
Version Number - 2.2.3


,,,,,,,Plot2,,,,P2.M1 (Plot2),,,,,,,,,Gains,,,,,,,Compensation,,,,,,,,,,,,, , , , , , , , , , , , , , , , , ,,,,,,,,
Sample Number,Sample ID,Number of Events,Termination Count,Count Gate,Dilution Factor,Original Volume,Type,Params,Gated On,%Gated,%Gated,Cells/L,Total Volume (L),Acquisition Time (s),Date of Acquisition,Time of Acquisition,Date of Analysis,Time of Analysis,FSC Gain,SSC,GRN,YEL,RED,NIR,RED2,NIR2,GRN - %YEL,YEL - %GRN,RED - %YEL,YEL - %RED,RED - %NIR,NIR - %RED,YEL - %NIR,NIR - %YEL,GRN - %RED,RED - %GRN,GRN - %NIR,NIR - %GRN,RED2 - %YEL, YEL - %RED2, RED2 - %RED, RED - %RED2, RED2 - %GRN, GRN - %RED2, RED2 - %NIR, NIR - %RED2, RED2 - %NIR2, NIR2 - %RED2,NIR2 - %YEL, YEL - %NIR2, NIR2 - %RED, RED - %NIR2, NIR2 - %GRN, GRN - %NIR2, NIR2 - %NIR, NIR - %NIR2,Threshold Parameter,Threshold Value,Flow Rate (L/s),High Concentration Warning Trigger,# of Errors & Warnings,User Login Name,User Full Name, WorkList
 1, D02, 3002, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,0.00, 84.08, 35.71, 60.5, 19-JAN-2018, 09:20:17, 19-JAN-2018, 09:36:12, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 2, D03, 2973, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,2.16, 83.26, 35.71, 60.5, 19-JAN-2018, 09:21:52, 19-JAN-2018, 09:36:24, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 3, D04, 3234, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,4.83, 90.50, 35.74, 60.6, 19-JAN-2018, 09:23:27, 19-JAN-2018, 09:36:24, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 4, D05, 3045, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,11.53, 85.28, 35.71, 60.5, 19-JAN-2018, 09:25:02, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 5, D06, 3135, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,15.16, 87.73, 35.74, 60.6, 19-JAN-2018, 09:26:37, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 6, D07, 3418, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,23.43, 95.65, 35.74, 60.6, 19-JAN-2018, 09:28:12, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 7, D08, 3697, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,29.55, 103.45, 35.74, 60.6, 19-JAN-2018, 09:29:47, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 8, D09, 3530, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,46.04, 98.86, 35.71, 60.5, 19-JAN-2018, 09:31:21, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
 9, D10, 3415, 5000, All Events, 1.00, 10.00,DotPlot,Yellow Fluorescence (YEL-HLog) vs Green Fluorescence (GRN-HLog),Gate 1,100.00,54.64, 95.56, 35.74, 60.6, 19-JAN-2018, 09:32:52, 19-JAN-2018, 09:36:25, 9.9, 20.7, 3.1, 1.0, 1.9, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 353, 0.59, 500, 1, DESKTOP-9MNKV60\User, Unknown,C:\Users\User\Desktop\Guava\Diogo\20180119_SUIT2_CAS9_TITR_D3.PRO.gwl
