"","Gene","N.sums","MF.score","MF.rank","MF.nfold.min"
"Pzp","11287",9,1.70665731723106e-06,14042,13896
"Aanat","11298",0,0,335.5,335.5
"Aatk","11302",11,1.01412350407331e-06,12261,12691
"Abca1","11303",39,7.30909868490443e-06,16919,17111.5
"Abca4","11304",8,3.78504333961419e-07,8582,9824
"Abca2","11305",4,1.47178442866073e-07,5153,6086.5
"Abcb7","11306",8,2.28153217965834e-06,14870,9377.5
"Abcg1","11307",18,1.16572471781427e-06,12743,13947
"Abi1","11308",6,3.08577576854221e-07,7762,8404.5
"Abl1","11350",4,1.51449430431625e-07,5247,6273
"Abl2","11352",5,6.00521455172891e-07,10368,6262.5
"Scgb1b27","11354",2,2.30513975576893e-07,6634,2316.5
"Acadl","11363",14,1.44312921606855e-06,13477,12536.5
"Acadm","11364",8,1.13623266308e-06,12641,8907
"Acadvl","11370",12,7.38831169387241e-07,11110,10500.5
"Acads","11409",7,1.81688137360927e-07,5814,7234
"Slc33a1","11416",5,1.37882212360093e-07,4971,6166
"Asic2","11418",3,4.11556139913869e-07,8903,4786
"Asic1","11419",6,1.63758620992776e-07,5470,6525
"Ace","11421",9,1.27371638594322e-06,13026,13008
"Ache","11423",6,2.67012220068276e-07,7170,7771
"Apoc4","11425",10,1.06221916467192e-06,12421,13040
"Macf1","11426",12,5.61296018154424e-07,10112,11669.5
"Aco1","11428",11,3.35659835371184e-07,8103,9913
"Aco2","11429",8,8.31304718839646e-07,11525,11418
"Acox1","11430",10,2.54869963268157e-07,7003,8548
"Acp1","11431",7,3.4827920802598e-07,8256,9451
"Acp2","11432",6,2.09843561026263e-07,6311,6966.5
"Acp5","11433",34,3.50986425149778e-06,15849,16450
"Acr","11434",3,1.26539272085587e-07,4704.5,3937.5
"Chrna1","11435",6,8.29622704903353e-07,11520,9567
"Chrna4","11438",3,4.11903418514597e-07,8905,3987
"Chrna6","11440",5,2.24932956967679e-07,6552,8106.5
"Chrna7","11441",1,2.38292567035273e-07,6755,943
"Chrnb1","11443",11,5.58695990149169e-07,10094,11395
"Chrnb2","11444",6,1.58077300070073e-07,5364,6866.5
"Chrnd","11447",5,3.14280810600307e-07,7853,8450
"Chrne","11448",4,1.02704954569978e-07,4146,5437.5
"Chrng","11449",5,9.18841921540462e-07,11883,11356.5
"Adipoq","11450",24,4.53734211485116e-06,16308,16526.5
"Acrv1","11451",1,1.80346326264178e-08,1460.5,1475.5
"Acta1","11459",19,6.11942771906098e-05,17557,16976
"Actc1","11464",23,2.37774230436062e-05,17472,17078.5
"Actg2","11468",25,3.01257185111141e-06,15533,16169
"Actl7a","11470",4,1.52055519351904e-07,5253,5034
"Actl7b","11471",1,1.80346326264178e-08,1460.5,1475.5
"Actn2","11472",26,4.29016841593205e-06,16210,16389
"Actn3","11474",12,1.12297812213277e-06,12598,12585.5
"Acta2","11475",29,3.25312648776056e-06,15696,16103
"Acvr1","11477",12,5.84534922936179e-07,10248,11715
"Acvr1b","11479",0,0,335.5,335.5
"Acvr2a","11480",4,1.05596292958645e-07,4210,4798
"Acvr2b","11481",10,4.37063377167303e-07,9134,10400
"Acvrl1","11482",11,7.32095791341354e-07,11081,12199
"Aspa","11484",23,1.8711915157694e-06,14310,14846.5
